material,data_source,thickness,stressthickness,R,T,P
Ag,Seel,34.9536475,0.924824367,0.2,323,0
Ag,Seel,45.58476463,1.044720175,0.2,323,0
Ag,Seel,54.95939098,0.804063251,0.2,323,0
Ag,Seel,64.62637354,0.57692139,0.2,323,0
Ag,Seel,74.3773545,0.421148213,0.2,323,0
Ag,Seel,85.46815893,0.275914976,0.2,323,0
Ag,Seel,95.52478442,0.160774704,0.2,323,0
Ag,Seel,5.309873826,-0.026473007,0.2,473,0
Ag,Seel,14.93810747,0.036906431,0.2,473,0
Ag,Seel,24.4264221,0.157873137,0.2,473,0
Ag,Seel,34.60192459,0.447721927,0.2,473,0
Ag,Seel,44.26236088,0.792273322,0.2,473,0
Ag,Seel,55.47702869,0.974762298,0.2,473,0
Ag,Seel,64.83684599,0.968848145,0.2,473,0
Ag,Seel,74.17802962,0.889380566,0.2,473,0
Ag,Seel,85.24447647,0.791738787,0.2,473,0
Ag,Seel,96.75793579,0.705541545,0.2,473,0
Ag,Shull,4.807656333,0.149203492,0.01,320,0
Ag,Shull,15.4891204,0.619804663,0.01,320,0
Ag,Shull,24.43580579,1.276223204,0.01,320,0
Ag,Shull,34.2602426,1.402435413,0.01,320,0
Ag,Shull,43.99383083,0.932391343,0.01,320,0
Ag,Shull,53.98899285,0.496494659,0.01,320,0
Ag,Shull,64.32750527,0.177871736,0.01,320,0
Ag,Shull,73.96207605,-0.146857801,0.01,320,0
Ag,Shull,83.94803123,-0.460763933,0.01,320,0
Ag,Shull,95.97561655,-0.826269385,0.01,320,0
Ag,Shull,106.0366925,-1.135525185,0.01,320,0
Ag,Shull,115.3398759,-1.402705167,0.01,320,0
Ag,Shull,124.6469296,-1.721167802,0.01,320,0
Ag,Shull,131.1495348,-1.880686466,0.01,320,0
Co,Pletea,19.13161465,4.390017691,0.05,300,0.05
Co,Pletea,30.12211669,6.265565155,0.05,300,0.05
Co,Pletea,42.33378562,8.138536317,0.05,300,0.05
Co,Pletea,54.54545455,10.01150748,0.05,300,0.05
Co,Pletea,67.97829037,11.24899095,0.05,300,0.05
Co,Pletea,80.59701493,11.22236917,0.05,300,0.05
Co,Pletea,94.02985075,13.72567542,0.05,300,0.05
Co,Pletea,109.0909091,15.59263521,0.05,300,0.05
Co,Pletea,126.1872456,18.08821256,0.05,300,0.05
Co,Pletea,142.0624152,21.21927761,0.05,300,0.05
Co,Pletea,156.7164179,22.45418477,0.05,300,0.05
Co,Pletea,170.963365,23.68995071,0.05,300,0.05
Co,Pletea,183.1750339,26.19583326,0.05,300,0.05
Co,Pletea,195.3867028,28.06880442,0.05,300,0.05
Co,Pletea,210.0407056,29.93662298,0.05,300,0.05
Co,Pletea,223.880597,31.80615908,0.05,300,0.05
Co,Pletea,238.1275441,33.6748364,0.05,300,0.05
Co,Pletea,254.816825,35.53836113,0.05,300,0.05
Co,Pletea,271.5061058,38.03479725,0.05,300,0.05
Co,Pletea,285.3459973,39.90433334,0.05,300,0.05
Co,Pletea,297.9647218,41.77644573,0.05,300,0.05
Co,Pletea,19.13161465,-1.939096233,0.05,300,0.2
Co,Pletea,31.34328358,0.566786322,0.05,300,0.2
Co,Pletea,45.59023066,4.334197826,0.05,300,0.2
Co,Pletea,63.50067843,10.62552599,0.05,300,0.2
Co,Pletea,81.41112619,14.38520859,0.05,300,0.2
Co,Pletea,99.72862958,18.14403243,0.05,300,0.2
Co,Pletea,117.6390773,22.53662642,0.05,300,0.2
Co,Pletea,135.1424695,26.93007918,0.05,300,0.2
Co,Pletea,153.8670285,31.95386703,0.05,300,0.2
