material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
V-75Mo,2717.75,refractory,Su,Unpublished,0.28,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
V-75Mo,2717.75,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,1,300,0.27,magnetron sputttering,BCC,Single element,0.27,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,0.5,300,0.27,magnetron sputttering,BCC,Single element,0.27,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,0.2,300,0.27,magnetron sputttering,BCC,Single element,0.27,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,0.2,300,0.47,magnetron sputttering,A15,Single element,0.47,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,0.5,300,0.47,magnetron sputttering,A15,Single element,0.47,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,1,300,0.47,magnetron sputttering,A15,Single element,0.47,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,0.2,300,0.67,magnetron sputttering,A15,Single element,0.47,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Johnson,10.1016/j.surfcoat.2023.129336,1,300,0.67,magnetron sputttering,A15,Single element,0.67,6.70E-06,16,,,15,Si [100] thermal oxide,,,,
W,3695,,Kaub,10.1063/1.4991880,0.075,298,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,,,,10,Si [100] thermal oxide,,,,
W,3695,,Kaub,10.1063/1.4991880,0.075,473,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,,,,10,Si [100] thermal oxide,,,,
W,3695,,Kaub,10.1063/1.4991880,0.075,573,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,,,,10,Si [100] thermal oxide,,,,
W,3695,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Single element,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
W,3695,refractory,Su,10.1016/j.surfcoat.2023.130150,0.08,295,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
W,3695,refractory,Su,10.1016/j.surfcoat.2023.130150,0.12,295,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
W,3695,refractory,Su,10.1016/j.surfcoat.2023.130150,0.24,295,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
W,3695,refractory,Su,10.1016/j.surfcoat.2023.130150,0.36,295,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
W,3695,refractory,Su,10.1016/j.surfcoat.2023.130150,0.6,295,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
