material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
Cu-5Ni,1376.2815,,Kaub,10.1016/j.scriptamat.2015.10.010,0.422,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,Si [100]native oxide,,,,
Cu-5V,1399.0315,,Kaub,10.1063/1.5008269,0.56,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Cu-3V,1382.5269,,Kaub,10.1063/1.5008269,0.63,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Cu-1V,1366.0223,,Kaub,10.1063/1.5008269,0.7,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,2,,10,,,,,
Fe,1811,,Winau,10.1063/1.349313,0.02,300,0,Thermal evaporation,BCC,Single element,8.00E-07,8.00E-09,,,,,mica(001),,,,
Fe,1811,,Winau,10.1063/1.106348,0.01,310,0,Thermal evaporation,BCC,Single element,5.00E-07,1.00E-08,,,,,oxidized Si(001),,,,
Fe,1811,,Winau,10.1063/1.106348,0.01,520,0,Thermal evaporation,BCC,Single element,5.00E-07,1.00E-08,,,,,oxidized Si(001),,,,
Fe,1811,,Thurner,10.1016/0040-6090(90)90306-U,0.087,300,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,DOI not work
Fe,1811,,Thurner,10.1016/0040-6090(90)90306-U,0.087,348,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,DOI not work
Fe,1811,,Thurner,10.1016/0040-6090(90)90306-U,0.087,363,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,DOI not work
Fe,1811,,Thurner,10.1016/0040-6090(90)90306-U,0.087,473,0,Thermal evaporation,BCC,Single element,4.00E-07,2.00E-08,,,,,MgF2,,,,DOI not work
Fe,1811,,Fu,10.1063/1.3462431,0.1,298,0.27,magnetron sputttering,BCC,Single element,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe,1811,,Zhou,10.1016/j.tsf.2016.05.024,0.11,298,0.27,magnetron sputttering,BCC,Single element,0.27,6.00E-06,,,,10,Si (001) native oxide,,,,
Fe-86W,3431.24,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,10,Si [100] thermal oxide,,,,
Fe-79Pt,1993.016,,Fu,10.1063/1.3462431,0.4,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-72Pt,1976.888,,Fu,10.1063/1.3462431,0.3,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-55Pt,1937.72,,Fu,10.1063/1.3462431,0.2,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-46Pt,1916.984,,Fu,10.1063/1.3462431,0.18,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-46Pt,1916.984,,Fu,10.1063/1.3462431,0.175,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-46Pt,1916.984,,Fu,10.1063/1.3462431,0.175,478,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-46Pt,1916.984,,Fu,10.1063/1.3462431,0.175,508,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-46Pt,1916.984,,Fu,10.1063/1.3462431,0.175,533,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-46Pt,1916.984,,Fu,10.1063/1.3462431,0.175,598,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-35Pt,1891.64,,Fu,10.1063/1.3462431,0.15,298,0.27,magnetron sputttering,FCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-18Pt,1852.472,,Fu,10.1063/1.3462431,0.11,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Fe-16Cr,1870.04,,Zhou,10.1016/j.tsf.2018.01.007,0.106,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,40,,,,Si [100] thermal oxide,,,,
Fe-16Cr,1870.04,,Zhou,10.1016/j.tsf.2018.01.007,0.106,523,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,40,,,,Si [100] thermal oxide,,,,
Fe-16Cr,1870.04,,Zhou,10.1016/j.tsf.2018.01.007,0.106,673,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,40,,,,Si [100] thermal oxide,,,,
Fe-8Cr,1840.52,,Zhou,10.1016/j.tsf.2016.05.024,0.14,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,10,Si (001) native oxide,,,,
Fe-6Cr,1833.14,,Zhou,10.1016/j.tsf.2016.05.024,0.13,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,10,Si (001) native oxide,,,,
Fe-4Cr,1825.76,,Zhou,10.1016/j.tsf.2018.01.007,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,40,,,, silicon [100] thermal oxide,,,,
Fe-4Cr,1825.76,,Zhou,10.1016/j.tsf.2016.05.024,0.12,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,10,Si (001) native oxide,,,,
Fe-4Cr,1825.76,,Zhou,10.1016/j.tsf.2018.01.007,0.1,523,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,40,,,, silicon [100] thermal oxide,,,,
Fe-4Cr,1825.76,,Zhou,10.1016/j.tsf.2018.01.007,0.1,673,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,40,,,, silicon [100] thermal oxide,,,,
Fe-3Cr,1822.07,,Zhou,10.1016/j.tsf.2016.05.024,0.11,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,10,Si (001) native oxide,,,,
Fe-3W,1867.52,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,10,Si [100] thermal oxide,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.1,298,0.11,magnetron sputttering,BCC,Single element,0.11,2.10E-06,18,,,,oxidized Si,,,,has Mo-Si alloy
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.18,298,0.11,magnetron sputttering,BCC,Single element,0.11,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.06,298,0.24,magnetron sputttering,BCC,Single element,0.24,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.1,298,0.24,magnetron sputttering,BCC,Single element,0.24,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.18,298,0.24,magnetron sputttering,BCC,Single element,0.24,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.22,298,0.24,magnetron sputttering,BCC,Single element,0.24,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.06,298,0.43,magnetron sputttering,BCC,Single element,0.43,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,,Fillon,10.1016/j.tsf.2010.07.091,0.06,298,0.11,magnetron sputttering,BCC,Single element,0.11,2.10E-06,18,,,,oxidized Si,,,,
Mo,2896,refractory,Su,Unpublished,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
Mo,2896,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
Mo,2896,refractory,Su,Unpublished,0.2,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
Mo,2896,refractory,Su,Unpublished,0.28,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
Mo,2896,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,1.33E-05,18,,,15,Si [100]native oxide,,,,
Mo84Si16,,intermetallic,Fillon,10.1016/j.tsf.2010.07.091,0.12,298,0.13,magnetron sputttering,BCC,Solid solution,,2.10E-06,18,,,,Mo [100],,,,intermatalic
Mo84Si16,,intermetallic,Fillon,10.1016/j.tsf.2010.07.091,0.12,298,0.24,magnetron sputttering,BCC,Solid solution,,2.10E-06,18,,,,Mo [100],,,,intermatalic
Mo84Si16,,intermetallic,Fillon,10.1016/j.tsf.2010.07.091,0.12,298,0.35,magnetron sputttering,BCC,Solid solution,,2.10E-06,18,,,,Mo [100],,,,intermatalic
Mo84Si16,,intermetallic,Fillon,10.1016/j.tsf.2010.07.091,0.12,298,0.44,magnetron sputttering,BCC,Solid solution,,2.10E-06,18,,,,Mo [100],,,,intermatalic
Mo84Si16,,intermetallic,Fillon,10.1016/j.tsf.2010.07.091,0.31,298,0.24,magnetron sputttering,BCC,Solid solution,,2.10E-06,18,,,,Mo [100],,,,intermatalic
Ni,1728,,Winau,10.1063/1.106348,0.01,300,0,Thermal evaporation,FCC,Single element,5.00E-07,1.00E-08,,,,,mica(001),dehydroxylated,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.05,300,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.05,333,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.05,398,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.05,423,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.05,473,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.03,373,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.05,373,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.08,373,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.13,373,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Yu,10.1016/j.actamat.2013.12.031,0.25,373,0,e-beam evaporation ,FCC,Single element,1.30E-06,6.70E-07,,,,,Si(100) nitride coating,,,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.25,293,0.67,magnetron sputttering,FCC,Single element,0.67,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.25,373,0.67,magnetron sputttering,FCC,Single element,0.67,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.25,473,0.67,magnetron sputttering,FCC,Single element,0.67,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.076,293,0.67,magnetron sputttering,FCC,Single element,0.67,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.076,373,0.67,magnetron sputttering,FCC,Single element,0.67,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.076,473,0.67,magnetron sputttering,FCC,Single element,0.67,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.25,293,0.27,magnetron sputttering,FCC,Single element,0.27,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.25,293,1.33,magnetron sputttering,FCC,Single element,1.33,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.076,293,0.27,magnetron sputttering,FCC,Single element,0.27,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Koenig,10.1016/j.surfcoat.2021.126973,0.076,293,1.33,magnetron sputttering,FCC,Single element,1.33,4.00E-06,16,,,15,Si [100] thermal oxide,,TRUE,,
Ni,1728,,Lumbeeck,10.1016/j.tsf.2020.138076,0.034,300,0.27,magnetron sputttering,FCC,Single element,0.27,1.10E-05,,,,,Si (4nm TiO2 layer),chemical cleaning,,,
Ni,1728,,Lumbeeck,10.1016/j.tsf.2020.138076,0.03,300,0.4,magnetron sputttering,FCC,Single element,0.4,1.10E-05,,,,,Si (4nm TiO2 layer),chemical cleaning,,,
Ni,1728,,Lumbeeck,10.1016/j.tsf.2020.138076,0.026,300,0.53,magnetron sputttering,FCC,Single element,0.53,1.10E-05,,,,,Si (4nm TiO2 layer),chemical cleaning,,,
Ni,1728,,Lumbeeck,10.1016/j.tsf.2020.138076,0.021,300,0.67,magnetron sputttering,FCC,Single element,0.67,1.10E-05,,,,,Si (4nm TiO2 layer),chemical cleaning,,,
Ni,1728,,Lumbeeck,10.1016/j.tsf.2020.138076,0.016,300,1.07,magnetron sputttering,FCC,Single element,1.07,1.10E-05,,,,,Si (4nm TiO2 layer),chemical cleaning,,,
Ni,1728,,Kaub,10.1016/j.scriptamat.2015.10.010,0.154,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,2,,10,Si [100]native oxide,,,,
Pt,2041.4,,Fu,10.1063/1.3462431,0.4,298,0.27,magnetron sputttering,FCC,Single element,0.27,1.33E-05,,,,,Si (001) native oxide,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,300,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,MgF2,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,343,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,MgF2,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,388,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,MgF2,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,473,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,MgF2,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,573,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,MgF2,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,623,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,MgF2,,,,
Ti,1941,,Floro,10.1063/1.1352563,0.2,298,0,Thermal evaporation,HCP,Single element,4.00E-06,1.30E-08,,,,,oxidized Si(001),chemical cleaning,,,not inc in KMORFS
Ti,1941,,Klokholm,10.1149/1.2411441,0.35,300,0,e-beam evaporation ,HCP,Single element,1.30E-04,,,,,,glass,,,,
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,388,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,Ti,,,,not inc in KMORFS
Ti,1941,,Scheeweis,10.1016/0042-207X(92)90057-4,0.08,573,0,Thermal evaporation,HCP,Single element,2.00E-07,4.00E-08,,,,,Ti,,,,not inc in KMORFS
